corpus,dataset,truefam,reg_binary,reg_maxdisagree,reg_alpha_localev,reg_bestalpha_oracle
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,local,0.011762847096862233,0.011762847096862233,0.005637414559773377,0.005637414559773377
ovrbench,CustomerChurn2,local,0.2733070663164644,0.2733070663164644,0.11185894499926652,0.11185894499926652
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,local,0.051023792119596414,0.051023792119596414,0.051023792119596414,0.010035499123832184
ovrbench,FinancialMetricsAnomaly,global,0.09586780379311562,0.09586780379311562,0.11626743703879447,0.09586780379311562
ovrbench,CardiacHealth,local,0.0,0.0,0.0,0.0
ovrbench,SensorAnomaly,local,0.22409128585994034,0.22409128585994034,0.22409128585994034,0.20611469746101657
ovrbench,BCellImmunity,global,0.12749810514737475,0.12749810514737475,0.11145252685549388,0.11145252685549388
oddbench,HealthPulse,local,0.002318992261677519,0.002318992261677519,0.003344610363150674,0.002318992261677519
oddbench,PropertyCondition,local,0.20539826858160698,0.23349995471885665,0.20539826858160698,0.17808463229009244
ovrbench,HealthActivityObesity,local,0.05303284639220188,0.05303284639220188,0.05303284639220188,0.05303284639220188
oddbench,TransactionFeeAnomalies,local,0.19550613689377516,0.19550613689377516,0.19550613689377516,0.19550613689377516
ovrbench,TwitterEmotion,local,0.09275134383039256,0.09275134383039256,0.07443818033553475,0.0016331709620405754
ovrbench,FootballEfficiency,local,0.00998927025356855,0.00998927025356855,0.0062254742956969755,0.0062254742956969755
ovrbench,BoundingBoxClassification,global,0.34835236606175146,0.34835236606175146,0.11883037150682352,0.11883037150682352
oddbench,GeneticVariation,global,0.37283067817050003,0.37283067817050003,0.21552180747786231,0.21552180747786231
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,global,0.11417153058759888,0.11417153058759888,0.1410834689625215,0.11417153058759888
adbench,35_SpamBase,global,0.4156708182441336,0.4156708182441336,0.4156708182441336,0.002686134364425774
dami,SpamBase,global,0.4636944047817833,0.4636944047817833,0.4636944047817833,0.005877299110305323
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,local,0.0,0.0,0.0,0.0
oddbench,ProsperLoan,local,0.0,0.0,0.009945144404210987,0.0
ovrbench,JobChangePatterns,global,0.29357822529493033,0.29357822529493033,0.29357822529493033,0.29357822529493033
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,local,0.0,0.0,0.002976651286634463,0.0
ovrbench,TrafficSensor,local,0.0,0.0,0.0,0.0
ovrbench,PokemonBattle,local,0.09019793956335007,0.09019793956335007,0.09473114414180797,0.09019793956335007
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,local,0.03373461753512227,0.03373461753512227,0.028930810354952027,0.0
ovrbench,RealEstateListings,local,0.17027656418521886,0.17027656418521886,0.17027656418521886,0.07644681504978178
oddbench,BuildingInspections,global,0.18904614220708357,0.18904614220708357,0.1477245173142611,0.03051949310395799
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,local,0.009531369026063219,0.009531369026063219,0.0,0.0
ovrbench,ViralProteinFunction,local,0.2508512299709335,0.2508512299709335,0.2508512299709335,0.10460611108216658
ovrbench,GeotechnicalAnomalies,local,0.06648893579978653,0.06648893579978653,0.001983523969986384,0.001983523969986384
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,local,0.02098281668605162,0.02098281668605162,0.02098281668605162,0.02098281668605162
oddbench,ProtestViolence,global,0.8650689069673555,0.8650689069673555,0.8650689069673555,0.06567921474062766
ovrbench,BreastCancer,global,0.0,0.0,0.0,0.0
ovrbench,UserMovieInteractions,global,0.2569723538051926,0.33820714127581086,0.15428081856687567,0.11493091881076131
ovrbench,Word2VecPCA,global,0.14906983326743378,0.14906983326743378,0.14870107706551605,0.14870107706551605
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,local,0.038313640988059644,0.038313640988059644,0.038313640988059644,0.002786278459412539
ovrbench,TextAnomalyDetection,global,0.030437757314276576,0.030437757314276576,0.030437757314276576,0.030437757314276576
ovrbench,BNG(cmc),global,0.33715847838898755,0.33715847838898755,0.33715847838898755,0.18227057549388687
oddbench,GlobalTerrorismAttack,global,0.6227314669624484,0.6227314669624484,0.6227314669624484,0.45103849485439806
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,local,0.018693934986316774,0.018693934986316774,0.10323697413659949,0.018693934986316774
