corpus,dataset,truefam,local_ev,reg_binary,reg_alpha_s2,reg_alpha_s4,reg_alpha_s8
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,global,-0.015476190476190532,0.04822041738971427,0.05665764711231108,0.05665764711231108,0.05665764711231108
oddbench,CasePriority,local,-0.007550000000000057,0.1283025771709303,0.1283025771709303,0.1283025771709303,0.1283025771709303
dami,Wilt,local,-0.2824396929824561,0.23035949055871335,0.18073775415804477,0.18073775415804477,0.18073775415804477
adbench,44_Wilt,local,-0.18818530701754388,0.4456969079747201,0.4456969079747201,0.4456969079747201,0.4456969079747201
ovrbench,SpotifyHitPredictor,global,-0.23894531250000006,0.057203771046730745,0.057203771046730745,0.057203771046730745,0.057203771046730745
oddbench,TreadmillStatus,local,-0.07591875000000003,0.6528875246189886,0.6528875246189886,0.6528875246189886,0.6528875246189886
ovrbench,students_dropout_and_academic_success,local,-0.11005656108597284,0.09980372521809033,0.09980372521809033,0.09980372521809033,0.09980372521809033
ovrbench,MalariaDetection,global,-0.07131250000000011,0.8296380183362532,0.8296380183362532,0.8296380183362532,0.8296380183362532
ovrbench,GesturePhaseSegmentationProcessed,local,-0.07563135593220316,0.02072854257418638,0.02072854257418638,0.02072854257418638,0.02072854257418638
ovrbench,HealthMetrics,local,-0.2883384773662552,0.05367703833782012,0.06379267961599229,0.05367703833782012,0.05367703833782012
oddbench,BugSeverity,global,-0.11843444227005873,0.003264449301134467,0.003264449301134467,0.003264449301134467,0.003264449301134467
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,local,-0.009779385810095298,0.03075257799683752,0.0,0.02432458992157467,0.02432458992157467
oddbench,LandRarity,global,-0.11590909090909096,0.0,0.0,0.0,0.0
oddbench,ProgrammingAnomalies,local,-0.22640416666666652,0.25995640632916334,0.2608991988959101,0.2608991988959101,0.25995640632916334
oddbench,WindowsEditionAnomaly,global,-0.08253333333333335,0.5063578553412765,0.5063578553412765,0.5063578553412765,0.5063578553412765
ovrbench,BankruptcyForecast,global,-0.04311666666666669,0.09815707351822059,0.09815707351822059,0.09815707351822059,0.09815707351822059
ovrbench,seismic-bumps,local,-0.18212215320910974,0.046049752606325364,0.00012627605447951273,0.00012627605447951273,0.00012627605447951273
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,global,-0.02796028880866419,0.12301346266112595,0.14882710361186346,0.14882710361186346,0.12301346266112595
tsbad_m,108_SVDB_id_25_Medical_tr_1238_1st_1338.,local,-0.05478747203579426,0.0,0.0,0.0,0.0
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,local,-0.0028488779803645947,0.07870306489580023,0.06753653625267489,0.06753653625267489,0.07870306489580023
oddbench,CarMakeAnomaly,local,-0.29445833333333327,0.039685457467702016,0.039685457467702016,0.039685457467702016,0.039685457467702016
ovrbench,mozilla4,local,-0.09454166666666663,0.033047664549130176,0.033047664549130176,0.033047664549130176,0.033047664549130176
oddbench,FishingAnomalies,local,-0.005558333333333332,0.23018776481401967,0.22895083427613752,0.22895083427613752,0.22895083427613752
oddbench,AquaticMacroInverts,global,-0.23011418269230777,0.07061377247124256,0.5528517885730906,0.5408408272264582,0.5408408272264582
oddbench,UserEventAnomalies,global,-0.0859416666666667,0.0,0.0,0.0,0.0
oddbench,RealEstateProperties,local,-0.24843125,0.05623487038883891,0.061477460089827365,0.061477460089827365,0.061477460089827365
tsbad_m,053_GHL_id_22_Sensor_tr_50000_1st_126448,local,-0.06941636582430799,0.3132636314866596,0.3132636314866596,0.3132636314866596,0.3132636314866596
ovrbench,HeadingDetection,local,-0.26553125,0.35032556009623766,0.35032556009623766,0.35032556009623766,0.35032556009623766
adbench,27_PageBlocks,local,-0.0457369498464687,0.042508006942195586,0.042508006942195586,0.042508006942195586,0.042508006942195586
dami,PageBlocks,local,-0.1991223132036848,0.10349175331426208,0.023661378082995455,0.023661378082995455,0.023661378082995455
tsbad_m,138_CATSv2_id_1_Sensor_tr_16568_1st_1666,local,-0.009304102976669393,0.1352131564090972,0.1550780074507218,0.1550780074507218,0.1550780074507218
oddbench,AustinCrime,local,-0.07879310344827595,0.1422382943892954,0.1422382943892954,0.1422382943892954,0.1422382943892954
ovrbench,thyroid-ann,global,-0.21569126074498568,0.28232235354471996,0.26224830238150215,0.26224830238150215,0.26224830238150215
