corpus,dataset,best,worst,mean,p10,p90,spread,oracle_gain,truefam
adbench,19_landsat,0.5638296672303814,-0.2794158664648439,0.14024140832396248,-0.22405339178237094,0.4398433378506856,0.8432455336952254,0.42358825890641894,local
ovrbench,SpatialAnomalies,0.5739600786807301,-0.1351535171217236,0.10652299140973354,-0.0766890634053392,0.4047285760623824,0.7091135958024537,0.46743708727099653,local
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,0.15853334331981855,-0.02033775289750606,0.04583120626767865,-0.016896076892987597,0.1252250321378773,0.1788710962173246,0.11270213705213991,local
oddbench,RulePriorityAnomalies,0.10803364251983519,-0.14970118169319874,0.0045156323415167015,-0.08857882459422078,0.0848079741863639,0.25773482421303395,0.10351801017831849,global
oddbench,WaterChemistry,0.6296653977857045,-0.16059130627008994,0.13662156920797794,-0.05111802898936681,0.4933576095517365,0.7902567040557944,0.49304382857772655,local
ovrbench,EmployeePerformance,0.5223297454379168,-0.5908313650405237,0.047917163308327786,-0.390203753185164,0.44709835504037226,1.1131611104784405,0.474412582129589,local
ovrbench,SepsisMonitoring,0.10262710667043622,-0.042315305732543995,0.03737237568757539,-0.021866143439447826,0.09210407117904135,0.14494241240298023,0.06525473098286083,local
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,0.16377996839124878,0.0005585108336603498,0.060721174415240636,0.01844588953918654,0.11451681333656522,0.16322145755758843,0.10305879397600815,global
ovrbench,BatchProcessingEvents,0.012148746608031025,-0.08613016276719224,-0.04198034210039707,-0.071046063553312,0.003439677336385281,0.09827890937522327,0.05412908870842809,local
ovrbench,PhysicsTraining,0.036795973789196745,-0.18039689926801697,-0.07946175727818545,-0.13717248231266022,0.016954424050453307,0.21719287305721371,0.1162577310673822,local
ovrbench,volkert,0.7568337946438368,0.10677777587288392,0.46164877537094423,0.24665502853680826,0.7324612962104855,0.6500560187709529,0.2951850192728926,global
ovrbench,FireRiskAnalysis,0.13134798277977972,-0.23640767309072577,0.02922131722330861,-0.04941127120026032,0.11685122366820451,0.3677556558705055,0.1021266655564711,global
